"","BIZYGOMATIC_BRTH","ACROMION_HT","ACR_RADL_LNTH","BIACROMIAL_BRTH","BIDELTOID_BRTH","BUTTOCK_CIRC","BUTT_KNEE_LNTH","BUTT_POPLITEAL_LNTH","CHEST_BRTH","CHEST_CIRC","CHEST_DEPTH","CHEST_HT","EYE_HT_SITTING","FOOT_LNTH","FOREARM_HAND_LENTH","FUNCTIONAL_LEG_LNTH","GLUTEAL_FURROW_HT","HAND_BRTH_AT_METACARPALE","HAND_CIRC_AT_METACARPALE","HAND_LNTH","HEAD_BRTH","HEAD_CIRC","HEAD_LNTH","HIP_BRTH","HIP_BRTH_SITTING","KNEE_HT_SITTING","LATERAL_FEMORAL_EPICONDYLE_HT","LATERAL_MALLEOUS_HT","OVRHD_REACH","POPLITEAL_HT_SITTING","RADIALE_STYLION_LNTH","SITTING_HT","SLEEVE_OUTSEAM_LNTH","STATURE","THUMB_TIP_REACH","TROCHANTERION_HT","WAIST_CIRC_NATURAL","WAIST_CIRC_OMPHALION","WAIST_HT_NATURAL","WAIST_HT_OMPHALION","WEIGHT","GENDER","MASS","BMI"
"1",9.34899348970665e-06,1.84434993119185e-07,1.33547057099833e-06,6.108961174343e-07,1.14093482734774e-06,1.89132463065488e-07,3.81229615701845e-07,4.26192811670389e-07,5.86335004594102e-07,1.68111474921819e-07,5.41753977816897e-07,2.0012162435394e-07,3.66854067262533e-07,8.79188613202335e-07,4.62588442482916e-07,2.17186439546435e-07,2.47673567168350e-07,5.69448786707037e-06,2.54842208377727e-06,1.32705917066342e-06,2.16348553446657e-06,7.9270506948065e-07,1.64252442163164e-06,4.73577059600624e-07,3.99523066551313e-07,4.20405262585729e-07,4.28993733603043e-07,2.11954249496309e-06,1.23534449331845e-07,4.51096670733551e-07,6.8709214913343e-07,3.28045684056981e-07,3.53871887299316e-07,1.70492576091698e-07,2.93104947314486e-07,2.33793981710368e-07,2.28878031653159e-07,2.2809292057087e-07,2.04267694028200e-07,2.18079917036479e-07,3.98295765279549e-07,0.0115945965728440,3.90309126603583e-06,4.06059351564224e-06
"2",3.11508452249728e-05,6.32793720962558e-07,4.16676479277853e-06,1.91819019412593e-06,4.53907563202736e-06,6.10683061674436e-07,1.25346990974677e-06,1.42391083307334e-06,2.21599208174589e-06,5.73300671692105e-07,1.98333742311009e-06,7.03866677819969e-07,1.21717024423250e-06,2.9471707430659e-06,2.08494526368257e-06,7.42646577635058e-07,9.28436449837073e-07,2.31757863034351e-05,1.02341210202228e-05,4.43074255914634e-06,8.40494926930612e-06,2.96169428960939e-06,6.40551285173803e-06,1.49306699780602e-06,1.27949595641467e-06,1.7786084805278e-06,1.7433023629275e-06,7.85370312550733e-06,4.27099726666307e-07,1.78185287758357e-06,3.35928283561724e-06,1.02197727267811e-06,1.43812610997415e-06,5.62431430243347e-07,1.09485316672584e-06,9.49476988246523e-07,7.84682427798473e-07,7.06839597023229e-07,6.8734383365166e-07,7.78588436590895e-07,1.36039930551096e-06,0.0138823447758990,1.33322798754823e-05,1.29153921145952e-05
"3",8.67028518639307e-05,1.77236912997571e-06,1.11617789210643e-05,5.08245692395262e-06,1.50102532002603e-05,1.67067567022525e-06,3.46677300378424e-06,3.99083180629714e-06,6.75271961193942e-06,1.60268698850141e-06,5.86958352642867e-06,2.03492304802315e-06,3.49216622852458e-06,8.19055124083865e-06,6.91604661484614e-06,2.07491314208758e-06,2.79290362074028e-06,7.20749857662033e-05,3.17317108201384e-05,1.26262131642555e-05,2.55115994464832e-05,9.14706659212538e-06,1.93660441123561e-05,3.95913092195704e-06,3.50455168117830e-06,5.65567438390897e-06,5.42197481769641e-06,2.36765873312338e-05,1.24087195554154e-06,5.47931762301942e-06,1.14684303774845e-05,2.76238033320814e-06,4.47377960497534e-06,1.56917044079513e-06,3.26485325066158e-06,2.9468843850332e-06,2.30730892559015e-06,1.94895655130718e-06,1.90318720688002e-06,2.23219241597762e-06,3.96907882873187e-06,0.0165557471038276,3.88987322277461e-05,3.51718498261936e-05
"4",0.000204373678074687,4.11045917337587e-06,2.58044114907457e-05,1.14622099150743e-05,4.05730872882637e-05,3.90518160755776e-06,8.16882158395253e-06,9.48841749291304e-06,1.68470905970631e-05,3.70602875129230e-06,1.4237867423934e-05,4.8325535195002e-06,8.63087978755457e-06,1.91570629609123e-05,1.68009922064837e-05,4.80129678299719e-06,6.60729067777118e-06,0.000175254545272632,7.74834579862766e-05,3.1008652443234e-05,6.06370194451038e-05,2.34131520157715e-05,4.61476180603615e-05,8.85129749979264e-06,8.2107283269932e-06,1.36615890317112e-05,1.30264796331523e-05,5.82644779555144e-05,2.99939516004671e-06,1.31039796410328e-05,2.80811552894352e-05,6.58511032996368e-06,1.07487908110214e-05,3.72619946791096e-06,7.6912934348174e-06,7.0777652479974e-06,5.73297203721531e-06,4.76267003016396e-06,4.35204658128949e-06,5.21461507071681e-06,9.95105983725221e-06,0.0196667506549225,9.75348940183878e-05,8.17683256556246e-05
"5",0.000406251883650838,7.84501611156914e-06,5.1557436664585e-05,2.21927687541338e-05,9.13913684444885e-05,7.888170803621e-06,1.64081143378912e-05,1.93800580328878e-05,3.42273565865904e-05,7.0265227157442e-06,2.85525150436994e-05,9.52089950553171e-06,1.86522194055178e-05,3.77852303762664e-05,2.99567980620894e-05,9.09608795966008e-06,1.23946735197746e-05,0.000332680356602843,0.000148391312990856,6.54571032762816e-05,0.000113135895800744,5.06420049969177e-05,8.62291335231451e-05,1.67680392340309e-05,1.66314740836386e-05,2.49730458485727e-05,2.41207784279769e-05,0.000117741325433120,6.0685978837505e-06,2.4325464364104e-05,4.87782562491444e-05,1.38573326637167e-05,1.99036516013902e-05,7.70537006108766e-06,1.44496925813203e-05,1.31033729684308e-05,1.22058562628600e-05,1.04188618969256e-05,8.28199733219807e-06,9.8467464483479e-06,2.14091805233927e-05,0.0232718930672451,0.000209863587681076,0.000165415930631632
"6",0.000690802334197942,1.24713145205455e-05,9.0220328301647e-05,3.71649829070519e-05,0.000174199811534484,1.37723373038398e-05,2.82420478709405e-05,3.41003542192006e-05,5.74357793120445e-05,1.10028803648480e-05,4.76028577052467e-05,1.60028893131197e-05,3.58607859559555e-05,6.36058873160833e-05,3.92048071769977e-05,1.41970538951495e-05,1.84066091341877e-05,0.000500386571151316,0.000227154242906988,0.000120272974636687,0.000165594575972815,9.51934615555474e-05,0.000126520799920711,2.68330110692021e-05,2.98557349103138e-05,3.45747697949207e-05,3.44375335657033e-05,0.000199141139475871,1.03763070859985e-05,3.50899550358368e-05,6.02436135642738e-05,2.60916888380358e-05,2.84152444881764e-05,1.41567152439712e-05,2.15458083848174e-05,1.87172297541363e-05,2.2646505522871e-05,2.06836328252649e-05,1.30687011222117e-05,1.50853922312791e-05,4.00424591535819e-05,0.0274400553695739,0.000392557576375705,0.000299583764069871
"7",0.00102044080925442,1.69106204183071e-05,0.000140559920458785,5.52444188310616e-05,0.000286629956865020,2.10794839489839e-05,4.21488617141421e-05,5.26632608129239e-05,8.0579094258409e-05,1.43698183850474e-05,6.68228281484456e-05,2.38790134349343e-05,6.21336381313814e-05,9.33596279265236e-05,3.76053347079242e-05,1.83382016512753e-05,2.16643654039159e-05,0.000610308439487352,0.000285850699658823,0.000194925057767316,0.000190415287642727,0.000158636651194479,0.000145643747783959,3.63188691730133e-05,4.89865522489539e-05,3.62583360799925e-05,3.78739199758983e-05,0.000286642035892932,1.50466787416548e-05,3.94008109553225e-05,5.30038061111404e-05,4.47263837420917e-05,3.12452221083026e-05,2.37584207228919e-05,2.55736862520415e-05,2.06147030399952e-05,3.71294670580132e-05,3.79361204998147e-05,1.72764789988331e-05,1.88106796864779e-05,6.59914811856084e-05,0.032252081695675,0.000647039185845878,0.000501300144808742
"8",0.00133667130994660,2.07134513461350e-05,0.000198300090128702,7.6146931805939e-05,0.000420096061925300,2.89235099647781e-05,5.54573240111508e-05,7.32687082066592e-05,9.73560302483478e-05,1.62216150453872e-05,8.00141726663234e-05,3.37593840279922e-05,9.9171463683774e-05,0.000123043144610696,2.64825913398094e-05,1.99489917731491e-05,2.01543481149852e-05,0.000629684796955805,0.00031356187307322,0.000282402463952802,0.000175457518369309,0.000240053864634123,0.000132028675454887,4.16488556990968e-05,7.63567441855032e-05,2.88153078209347e-05,3.21677225778912e-05,0.000360974024861988,1.87436014098737e-05,3.42843537077558e-05,3.31553274405279e-05,7.09681449757007e-05,2.65246090542754e-05,3.74088535446202e-05,2.44132229957241e-05,1.75390016912203e-05,5.54157191023926e-05,6.4883472339604e-05,1.95472915583962e-05,1.94469127837018e-05,9.74079149656838e-05,0.0377607173067802,0.000955214697134775,0.000805793353714485
"9",0.00159594918134335,2.54370493209115e-05,0.000259156418898811,0.000103206233858677,0.000565662981359483,3.69077414735179e-05,6.65231732079107e-05,9.51852784526815e-05,0.000107981575938053,1.74151618778188e-05,8.32350203711641e-05,4.80035084368792e-05,0.000148824681251267,0.000151776578883915,1.36842566141520e-05,1.90800548786091e-05,1.48685964319337e-05,0.000588416916010557,0.00033516621950531,0.000373610781929149,0.000139061516426350,0.000334932147741565,9.470180746275e-05,4.0760823710589e-05,0.000117179883048688,1.73804092612455e-05,2.10965591014343e-05,0.000410906418884218,2.04509765906985e-05,2.32800665394322e-05,1.47647564646646e-05,0.000105654215635322,1.73341498320023e-05,5.56923966839782e-05,1.96929516838454e-05,1.15165256659518e-05,7.82154311961425e-05,0.000104817239845318,2.01400548221949e-05,1.76842238880925e-05,0.000132234661567425,0.0440401158991286,0.00129694047642078,0.00127806089930756
"10",0.00179125372023599,3.46665737400781e-05,0.000321582114298238,0.000144318567133753,0.000719116686681678,4.60981612022484e-05,7.70759700132836e-05,0.000120343574016938,0.000123460248000523,2.10475395322723e-05,7.79042637414533e-05,6.9364490790389e-05,0.000211697514875015,0.000183895193568907,5.17592834731991e-06,1.77082277034014e-05,8.68467909533417e-06,0.000550310484888394,0.000397375947986833,0.000463298594823183,0.000120811271764933,0.000437935084006864,5.70860002907659e-05,3.51158504034738e-05,0.000179381125121801,8.16843489596674e-06,1.09754827725136e-05,0.000437858125086159,2.03357270314017e-05,1.26269920022114e-05,4.6739301675061e-06,0.000149396161593689,8.72230654135404e-06,7.78269593437134e-05,1.63539443507047e-05,5.9255732061633e-06,0.000108404593758536,0.000161522180317995,2.12994227185755e-05,1.68185722855408e-05,0.000170706052801175,0.0511678325443371,0.00167454861603199,0.00199377546649968
"11",0.00194916537539943,5.19844475801084e-05,0.000389983434072506,0.000209320721924593,0.00087668060054101,5.9045116187382e-05,9.26943829036962e-05,0.000152784384840864,0.000162445049018152,3.08558350830731e-05,7.14515694852454e-05,9.86582542676886e-05,0.000285636372324694,0.000228211765128992,1.44368732411408e-06,1.80724809127490e-05,4.03180314380129e-06,0.000576962922968917,0.000534919620931698,0.000555248758549347,0.000154196900467247,0.000547562191567383,3.89535392966245e-05,2.94610937606546e-05,0.000270662406842028,3.98148385857151e-06,5.7630369334076e-06,0.000450578717774524,1.96156067334935e-05,6.76248125510748e-06,1.05651795583110e-06,0.00020237532370503,3.41148537894964e-06,0.000101107770419565,1.99843658916039e-05,2.82199101432554e-06,0.000151468304249076,0.000239312754775534,2.60236311795184e-05,2.08213141766404e-05,0.000216947941368093,0.0592494738066976,0.00212853826227096,0.00302718996498094
"12",0.00211363703702439,7.91256453547052e-05,0.000477962810122091,0.000303349452260459,0.00103277216102165,7.85222268414742e-05,0.000119431756544611,0.000195683842594803,0.000242215100473275,4.88724156636146e-05,7.46013102073085e-05,0.000132979534955083,0.000364262117234536,0.000295332361033442,2.92507759807993e-07,2.08950886527142e-05,1.58202858418805e-06,0.000718318037644904,0.000742328066969651,0.000660508501503811,0.000249507384093759,0.000668317255886449,4.85015531132421e-05,3.02638439255319e-05,0.000395783083504271,5.00772876877358e-06,6.37733927357818e-06,0.000460451994274227,1.97777239557036e-05,7.64637994521337e-06,1.68263970143121e-07,0.000263745578665713,1.09582362861103e-06,0.000122399370050245,3.49060817026201e-05,2.58711511022537e-06,0.00021451571114866,0.00034202586175348,3.57140328201895e-05,3.21966728384036e-05,0.000278059328190807,0.0683663783154815,0.00272854559898172,0.00445967986477443
"13",0.00234954818390818,0.000115034517843773,0.000609240526111282,0.000422230053747453,0.00118489343132355,0.000106210155723303,0.000159206555163328,0.000249341207812789,0.000375914954753354,7.33713302385012e-05,9.77239044374636e-05,0.000167700350514167,0.000440381100823259,0.000393252339471104,4.41602697777258e-08,2.50289056389602e-05,9.66603528310638e-07,0.00102051871016035,0.000980908235086422,0.000788423869324834,0.000394076985000489,0.000807136819166898,8.35656725622351e-05,4.35818842284274e-05,0.000553889197042858,1.14949716887489e-05,1.28747433560955e-05,0.000480638487777179,2.17281741731068e-05,1.72117190089808e-05,1.94406306951428e-08,0.000332030323285401,6.61109966437216e-07,0.000141535235215144,6.25520597625923e-05,5.3556226561973e-06,0.000303863648663129,0.000473514817329533,4.90582197251304e-05,5.03706673931205e-05,0.000360772471981596,0.0785845351328466,0.00354056043278052,0.00638560643366014
"14",0.00275448516107951,0.000157426598641180,0.00080958956359185,0.000551212668063704,0.00133796640195491,0.000143257303463189,0.000207960743533559,0.00031088886995428,0.0005766014210931,0.000100715343942243,0.000148554080161827,0.000200010019552788,0.000514628108816374,0.0005191642129357,4.77564910904965e-09,2.90420478104925e-05,2.10364936847562e-06,0.001504998156695,0.00122143727611465,0.000933791628366761,0.000568171021543142,0.000966842630605756,0.00013212838893226,7.47856902972709e-05,0.000737847596295936,2.31120821867605e-05,2.39311226770767e-05,0.000528723435292912,2.58539494996495e-05,3.88626209021877e-05,1.53876912160905e-09,0.000405838594296111,1.71685730895427e-06,0.000163387569451914,0.000101637947144682,1.10776228335452e-05,0.000424854296597492,0.000636854038650275,6.25762983559106e-05,7.27547976275871e-05,0.00046609798588167,0.089987329063102,0.00457428449701747,0.00890743973580593
"15",0.00346151675013565,0.000204571157376374,0.00109056783796053,0.000668662685286868,0.00150043192676826,0.0001920988051305,0.000260852556094159,0.000376519732356914,0.000860243908859971,0.000128849072971859,0.000230039875464017,0.000231725787364907,0.000601342543493185,0.000660242615109023,3.92158961703462e-10,3.26584033066356e-05,6.03841545031415e-06,0.00217129634518684,0.00149106520699344,0.00107827956424094,0.000766726582328312,0.00114909373234349,0.000176714083515005,0.000130028385799818,0.000938272456436184,3.74187635689642e-05,3.58438575292108e-05,0.000624436418511665,3.25866290671737e-05,7.66784819823083e-05,9.2000703933197e-11,0.000485555416179715,5.15956902204589e-06,0.000196376083269686,0.000148651501896659,1.87383153613872e-05,0.000580597892781414,0.00083287322678739,7.30127738552165e-05,9.6495842516761e-05,0.000588931383979036,0.102656759277321,0.00577940696333519,0.0120611063201189
"16",0.00459211778878008,0.000256134987386441,0.00144084063882787,0.00075756259089616,0.00168267381867534,0.000257309847298149,0.000320026259687384,0.00044672529625252,0.00124278004888467,0.000160446753288984,0.000335443640614820,0.000268462106517409,0.000723224774655114,0.000803956667919448,3.49268150718971e-11,3.71134442384333e-05,1.4401267468372e-05,0.00296748236409478,0.00186876520508045,0.00120813326523526,0.00102497699578720,0.0013654787213314,0.000205575372789675,0.000217185777146458,0.00114892886035225,5.15584983203237e-05,4.47263716364517e-05,0.000782919718195138,4.30496057557187e-05,0.000132908999495877,3.57211821535694e-12,0.00057578248350126,1.24904293271711e-05,0.000247980103645797,0.000199532429968955,2.61040941176645e-05,0.000769109238065882,0.00105788522170472,7.95024960612008e-05,0.000120719407074925,0.000721274584462435,0.116725239423711,0.00707734779825668,0.0157209400014832
