"","BIZYGOMATIC_BRTH","ACROMION_HT","ACR_RADL_LNTH","BIACROMIAL_BRTH","BIDELTOID_BRTH","BUTTOCK_CIRC","BUTT_KNEE_LNTH","BUTT_POPLITEAL_LNTH","CHEST_BRTH","CHEST_CIRC","CHEST_DEPTH","CHEST_HT","EYE_HT_SITTING","FOOT_LNTH","FOREARM_HAND_LENTH","FUNCTIONAL_LEG_LNTH","GLUTEAL_FURROW_HT","HAND_BRTH_AT_METACARPALE","HAND_CIRC_AT_METACARPALE","HAND_LNTH","HEAD_BRTH","HEAD_CIRC","HEAD_LNTH","HIP_BRTH","HIP_BRTH_SITTING","KNEE_HT_SITTING","LATERAL_FEMORAL_EPICONDYLE_HT","LATERAL_MALLEOUS_HT","OVRHD_REACH","POPLITEAL_HT_SITTING","RADIALE_STYLION_LNTH","SITTING_HT","SLEEVE_OUTSEAM_LNTH","STATURE","THUMB_TIP_REACH","TROCHANTERION_HT","WAIST_CIRC_NATURAL","WAIST_CIRC_OMPHALION","WAIST_HT_NATURAL","WAIST_HT_OMPHALION","WEIGHT","GENDER","MASS","BMI"
"1",4.10342774030270e-06,8.27294192136468e-08,6.30795201232494e-07,2.72223077477396e-07,5.6160399787892e-07,1.12474653930790e-07,2.12395390218618e-07,2.51941067644859e-07,2.51395662936424e-07,8.51959788037694e-08,3.20238422499041e-07,8.99790785736243e-08,1.88689688297526e-07,3.83952627655815e-07,2.13166586639369e-07,1.10304786701835e-07,1.19199686136914e-07,2.0122979938455e-06,8.47595430521316e-07,7.03370000839782e-07,1.05906240433814e-06,3.93979524414858e-07,8.1473248297081e-07,3.11254848374406e-07,4.86012906245787e-07,1.93758958559383e-07,2.04903510877084e-07,1.10947134224262e-06,5.89919332487312e-08,2.03349421037329e-07,3.28325598599664e-07,1.63985762721962e-07,1.63444456787068e-07,7.84790334892613e-08,1.32570305475622e-07,1.16343713417757e-07,1.09867711649977e-07,1.27432939219607e-07,1.07355311079022e-07,1.06657338310261e-07,1.93416429288809e-07,0.0234283911197144,1.89579178044605e-06,2.21514653247562e-06
"2",1.39761013912924e-05,3.04626660639766e-07,2.34268686107212e-06,8.85304970310189e-07,1.93577380596718e-06,4.51876676148975e-07,8.13093121899889e-07,9.76448907518398e-07,8.94117313896946e-07,3.26723605751327e-07,1.23554799751695e-06,3.29365516287681e-07,6.56229108429724e-07,1.23085999816533e-06,9.36279259591232e-07,4.46043012967226e-07,5.11932928419258e-07,6.37259095562145e-06,2.49066629991396e-06,2.79972771860075e-06,4.15331733770374e-06,1.48668737232073e-06,3.23832895549872e-06,1.13421686148461e-06,1.97128604581484e-06,7.89697947760442e-07,9.06620098053979e-07,4.92409517606616e-06,2.42508640513909e-07,8.0581833679216e-07,1.45143189845143e-06,5.53513276122067e-07,6.91817797655326e-07,2.92803894266607e-07,5.20870561117008e-07,5.40957537885726e-07,3.8540415309804e-07,4.554746046316e-07,4.34150167273084e-07,4.51272391411214e-07,7.69387946664265e-07,0.0393208194536848,7.54134144629081e-06,8.87865800195715e-06
"3",3.98799308547959e-05,8.98569095800119e-07,7.17834571238741e-06,2.42255027003432e-06,5.73525424891649e-06,1.42708502358554e-06,2.48641605916392e-06,3.0874945989233e-06,2.62529140880639e-06,9.8013440306646e-07,3.79263134255458e-06,9.87401740524988e-07,1.93837329918892e-06,3.39433786479729e-06,3.03463465759002e-06,1.40737609443439e-06,1.65592607901982e-06,1.70770203507854e-05,6.40569142001382e-06,9.08390536801788e-06,1.28412856469181e-05,4.69783608874777e-06,9.94682452466115e-06,3.31993202731405e-06,6.57662708913319e-06,2.49159986090475e-06,2.93780896358694e-06,1.66366759450429e-05,7.8706838299857e-07,2.4760904731395e-06,4.71724627186788e-06,1.60314854141603e-06,2.20432990140341e-06,9.01948735799423e-07,1.60649558255028e-06,1.80336149325302e-06,1.15839224121436e-06,1.38138043098582e-06,1.37027157416474e-06,1.45395544247533e-06,2.49239690053249e-06,0.0641857434142546,2.44330788866809e-05,2.81976444637291e-05
"4",9.71548620649751e-05,2.15495142985206e-06,1.80381457735432e-05,5.67258379202178e-06,1.48517059303652e-05,3.65472160954763e-06,6.17105410607048e-06,7.89112744413522e-06,6.4893131009312e-06,2.33804158820888e-06,9.36908209293085e-06,2.43050525938885e-06,4.94035992334836e-06,7.9585432777253e-06,7.38383695403693e-06,3.37849115994714e-06,4.00623982102923e-06,3.90591631724837e-05,1.43748069841615e-05,2.39309400402413e-05,3.08845181919852e-05,1.23090556317847e-05,2.38186112222079e-05,7.80274027503492e-06,1.81965400545986e-05,5.98361278209584e-06,7.14453369894565e-06,4.32392555610906e-05,2.02241381175508e-06,5.92518600002088e-06,1.14574615256266e-05,4.06692880217126e-06,5.3253624447647e-06,2.37252653367894e-06,3.84211549091656e-06,4.40911577881544e-06,2.97329384488371e-06,3.65126236709168e-06,3.29207516624257e-06,3.51343174066737e-06,6.738157574421e-06,0.101164832337836,6.60600050221772e-05,7.23267097515181e-05
"5",0.000200948430809282,4.21963458523396e-06,3.81143306118845e-05,1.14775471095599e-05,3.35774719010645e-05,7.65154785009481e-06,1.25252501974673e-05,1.66905763973762e-05,1.34014133446975e-05,4.40059491012741e-06,1.86543120537826e-05,5.07219051764401e-06,1.10723316269564e-05,1.60634189953885e-05,1.33682748069517e-05,6.26581520376086e-06,7.26811341115604e-06,7.67035891729435e-05,2.8369103521129e-05,5.25177311937431e-05,5.85373571298642e-05,2.75175009109134e-05,4.41536505254186e-05,1.46735292418090e-05,4.1857260930687e-05,1.10162545091336e-05,1.28928547402806e-05,8.77861588986758e-05,4.13054579176557e-06,1.09899462903686e-05,2.06446556761418e-05,9.02055965128572e-06,9.73382927472892e-06,5.37074681256697e-06,7.16341144417156e-06,7.82070248604795e-06,6.5908410098464e-06,8.40257408582086e-06,6.1225505024062e-06,6.44078435888156e-06,1.53796992896837e-05,0.154702566180286,0.000150804502323101,0.000155178445471126
"6",0.000357715968275856,7.00099392980935e-06,6.86993040288147e-05,2.05244943201748e-05,6.68428430335593e-05,1.35281322627078e-05,2.10151862877434e-05,2.99136451083951e-05,2.35664968326777e-05,6.65221379577358e-06,3.04592291272174e-05,9.21783635227597e-06,2.19457608893815e-05,2.83807301564210e-05,1.80457351739213e-05,9.02996866433284e-06,9.88473732500062e-06,0.000129548327187546,4.97960845271729e-05,9.64944007620894e-05,8.87929313541513e-05,5.33011102262141e-05,6.35331558652575e-05,2.21589238322385e-05,8.19388037959524e-05,1.55247059591643e-05,1.73069504487612e-05,0.000142864491221793,6.79597227917365e-06,1.58309851926621e-05,2.7633458355357e-05,1.77985322420619e-05,1.34660555355763e-05,1.07139302696627e-05,1.04490976270226e-05,1.00774555099376e-05,1.29317112207332e-05,1.72396430816931e-05,8.9091555347138e-06,9.0292470977783e-06,3.00921380435501e-05,0.228893033201773,0.000295117315834106,0.000297224053311978
"7",0.000556436239940733,1.04736998372681e-05,0.000108859898844696,3.37312696731879e-05,0.000118853862828396,2.12118419891633e-05,2.98996787913979e-05,4.69914423323544e-05,3.62845083533076e-05,8.42557006282373e-06,4.13113701286828e-05,1.53412383845345e-05,3.92446152201823e-05,4.45775959271356e-05,1.82061026278929e-05,1.04042077161304e-05,1.00757291801478e-05,0.000190612801262815,7.87942715317085e-05,0.000152525909310937,0.000112157740369092,9.12200831842834e-05,7.11395680963995e-05,2.69649746851253e-05,0.000138088227356359,1.67517217336539e-05,1.73444690244647e-05,0.000193045984844782,9.18520296322128e-06,1.77501393534774e-05,2.75308408722357e-05,3.18812280844790e-05,1.40965186337087e-05,1.91807537451365e-05,1.21438077276681e-05,9.47595045951955e-06,2.29319340750748e-05,3.23261404547105e-05,1.06186515423447e-05,1.00836563864533e-05,5.22062543893827e-05,0.32808066886867,0.000512091143022466,0.000538092660185989
"8",0.000768820992134302,1.55208317785902e-05,0.000157922059107229,5.31401197352434e-05,0.000191089235723094,3.14116516240684e-05,3.78835773344011e-05,6.75304650653855e-05,5.14164459428839e-05,1.00309688985236e-05,4.73577198916446e-05,2.44529693612909e-05,6.45271853721898e-05,6.40981639960334e-05,1.36690113320753e-05,1.03747552951841e-05,7.70074888720885e-06,0.000249079163710999,0.000114792371485941,0.000213949862582505,0.000127571765814987,0.00014096007926302,6.22393878280935e-05,2.69312754268587e-05,0.000205624230147791,1.38745773553194e-05,1.30156305324039e-05,0.00022676747520302,1.06151818903625e-05,1.55125509066715e-05,2.03586681270978e-05,5.23618262916035e-05,1.11774683779994e-05,3.09673312388391e-05,1.20265587596692e-05,6.49791497395047e-06,3.79323014869169e-05,5.61598281264192e-05,1.17086228537131e-05,1.03618648451133e-05,8.29176570181835e-05,0.455500542478415,0.000813518108753578,0.00095515773344168
"9",0.00096853245375668,2.43557418197029e-05,0.000220122528359407,8.25307314694128e-05,0.000281568136179834,4.63142493612725e-05,4.66888179661455e-05,9.18296532761884e-05,7.24258289115846e-05,1.34338317711241e-05,4.71072906302644e-05,3.78806771443804e-05,9.8398988492831e-05,8.76174900692276e-05,7.65848274797105e-06,1.03805164310739e-05,4.43568201498612e-06,0.000299541819167311,0.000158541336538470,0.000277693922995519,0.000145461733413667,0.000200111270906359,4.44670893644543e-05,2.40100750286039e-05,0.000277853846229834,9.00071830101461e-06,7.76848585483295e-06,0.000244058485241544,1.13802883239208e-05,1.09849896794465e-05,1.11911908733453e-05,7.9999831871237e-05,6.71593783033429e-06,4.54925511054707e-05,1.24704224281260e-05,3.42893458871165e-06,6.05576249679095e-05,9.19016266650325e-05,1.43492724573352e-05,1.28003703748886e-05,0.000125082570787509,0.612248065622416,0.00122743621437808,0.00163837260046697
"10",0.00115352939704388,3.94888685914015e-05,0.000309002418008314,0.000126433092328054,0.00038644776488311,6.80002010047788e-05,6.13117709673402e-05,0.000120281008454594,0.000108429840337681,2.11307086473323e-05,4.32475439488144e-05,5.64478817247845e-05,0.000140118613342394,0.000118060893451559,3.20901296717290e-06,1.16937007935033e-05,2.05886354723426e-06,0.00035090641369867,0.000214178225089095,0.000348275520171602,0.000177069049883910,0.000266852206394919,3.14510042096778e-05,2.46034700783453e-05,0.000350018580374053,5.26594040140682e-06,5.21295743325512e-06,0.000253352968551069,1.26970642375413e-05,7.73459396669301e-06,4.58038309770752e-06,0.000115108451569790,3.11717214045851e-06,6.18065341014742e-05,1.75904021807842e-05,2.09981964883585e-06,9.49249158896677e-05,0.000143256409041050,2.03516147724807e-05,2.0131229860958e-05,0.000183207432054398,0.797408284642508,0.00179803611852683,0.00270136508472636
