"","BIZYGOMATIC_BRTH","ACROMION_HT","ACR_RADL_LNTH","BIACROMIAL_BRTH","BIDELTOID_BRTH","BUTTOCK_CIRC","BUTT_KNEE_LNTH","BUTT_POPLITEAL_LNTH","CHEST_BRTH","CHEST_CIRC","CHEST_DEPTH","CHEST_HT","EYE_HT_SITTING","FOOT_LNTH","FOREARM_HAND_LENTH","FUNCTIONAL_LEG_LNTH","GLUTEAL_FURROW_HT","HAND_BRTH_AT_METACARPALE","HAND_CIRC_AT_METACARPALE","HAND_LNTH","HEAD_BRTH","HEAD_CIRC","HEAD_LNTH","HIP_BRTH","HIP_BRTH_SITTING","KNEE_HT_SITTING","LATERAL_FEMORAL_EPICONDYLE_HT","LATERAL_MALLEOUS_HT","OVRHD_REACH","POPLITEAL_HT_SITTING","RADIALE_STYLION_LNTH","SITTING_HT","SLEEVE_OUTSEAM_LNTH","STATURE","THUMB_TIP_REACH","TROCHANTERION_HT","WAIST_CIRC_NATURAL","WAIST_CIRC_OMPHALION","WAIST_HT_NATURAL","WAIST_HT_OMPHALION","WEIGHT","GENDER","MASS","BMI"
"1",114.84087883831,1144.49165460067,261.071333491832,319.137667208806,394.316910395076,767.397158518772,487.947879076057,385.20439419155,241.551458751935,733.480121874932,172.014588090682,1001.09360036775,652.310491228409,220.327848607324,372.009606283944,850.311394429297,621.400946627989,74.7434848845072,176.143371608304,154.133060699719,124.84087883831,504.709471376108,168.732741267223,269.814818376339,283.770007504107,437.120465608941,382.105088963123,48.84087883831,1740.01325025206,322.939753818425,202.973939538029,786.48354872812,462.440662485329,1456.59858829245,638.312508807137,721.140947287945,602.231606894616,601.747282766017,885.514760940202,829.762697452396,410.561061650708,0.395253949047919,41.8497413186032,16.3086836657578
"2",115.339042902183,1150.5221262249,262.726458067754,320.579330497517,396.48222533659,772.540650265867,490.504487579571,387.503295318994,243.530217160987,739.430018402711,173.660758028244,1006.59675995628,655.051693425814,221.311124393035,374.231634439824,855.072780400423,625.756483059747,75.0820003413858,176.918252989954,154.988958463361,125.359244922385,506.03857296447,169.293695989097,271.414519015201,285.946370988873,439.693789536033,384.729228580029,49.3188408819805,1750.06348762071,325.355112327144,204.29769833524,789.180850774017,465.482265263403,1462.91982893301,642.003165194872,725.885574615461,607.933998674523,608.166529578825,890.504361729289,834.868501544267,419.984070506249,0.407471040986345,42.810352605096,16.5620435917021
"3",115.837206966055,1156.55259784913,264.381582643677,322.020993786228,398.647540278104,777.684142012963,493.061096083085,389.802196446437,245.508975570039,745.37991493049,175.306927965806,1012.09991954481,657.79289562322,222.294400178746,376.453662595704,859.834166371548,630.112019491505,75.4205157982644,177.693134371605,155.844856227003,125.877611006459,507.367674552831,169.854650710971,273.014219654062,288.122734473638,442.267113463125,387.353368196936,49.796802925651,1760.11372498935,327.770470835863,205.621457132452,791.878152819914,468.523868041477,1469.24106957357,645.693821582606,730.630201942978,613.63639045443,614.585776391632,895.493962518376,839.974305636138,429.40707936179,0.419688132924771,43.7709638915889,16.8154035176464
"4",116.335371029928,1162.58306947336,266.036707219599,323.462657074939,400.812855219617,782.827633760058,495.617704586599,392.101097573880,247.487733979090,751.32981145827,176.953097903368,1017.60307913334,660.534097820626,223.277675964456,378.675690751584,864.595552342673,634.467555923263,75.7590312551431,178.468015753255,156.700753990645,126.395977090534,508.696776141193,170.415605432845,274.613920292924,290.299097958404,444.840437390217,389.977507813842,50.2747649693215,1770.163962358,330.185829344581,206.945215929663,794.57545486581,471.565470819552,1475.56231021412,649.384477970341,735.374829270494,619.338782234336,621.00502320444,900.483563307463,845.080109728008,438.830088217331,0.431905224863197,44.7315751780818,17.0687634435907
"5",116.833535093800,1168.61354109759,267.691831795522,324.90432036365,402.978170161131,787.971125507154,498.174313090113,394.399998701324,249.466492388142,757.279707986048,178.59926784093,1023.10623872187,663.275300018032,224.260951750167,380.897718907464,869.356938313799,638.82309235502,76.0975467120217,179.242897134906,157.556651754287,126.914343174608,510.025877729554,170.976560154720,276.213620931786,292.475461443169,447.413761317309,392.601647430749,50.752727012992,1780.21419972664,332.6011878533,208.268974726875,797.272756911707,474.607073597626,1481.88355085468,653.075134358076,740.11945659801,625.041174014243,627.424270017248,905.47316409655,850.185913819879,448.253097072873,0.444122316801623,45.6921864645746,17.322123369535
"6",117.331699157673,1174.64401272182,269.346956371444,326.345983652361,405.143485102644,793.11461725425,500.730921593627,396.698899828767,251.445250797194,763.229604513828,180.245437778492,1028.60939831040,666.016502215438,225.244227535877,383.119747063344,874.118324284924,643.178628786778,76.4360621689004,180.017778516556,158.412549517929,127.432709258683,511.354979317915,171.537514876594,277.813321570648,294.651824927935,449.987085244401,395.225787047656,51.2306890566625,1790.26443709529,335.016546362019,209.592733524086,799.970058957604,477.6486763757,1488.20479149523,656.76579074581,744.864083925527,630.74356579415,633.843516830056,910.462764885636,855.29171791175,457.676105928414,0.456339408740049,46.6527977510675,17.5754832954793
"7",117.829863221545,1180.67448434604,271.002080947367,327.787646941072,407.308800044158,798.258109001345,503.287530097141,398.997800956211,253.424009206246,769.179501041607,181.891607716054,1034.11255789893,668.757704412844,226.227503321588,385.341775219224,878.87971025605,647.534165218536,76.774577625779,180.792659898206,159.268447281571,127.951075342757,512.684080906277,172.098469598468,279.41302220951,296.828188412700,452.560409171493,397.849926664562,51.708651100333,1800.31467446393,337.431904870737,210.916492321298,802.6673610035,480.690279153774,1494.52603213579,660.456447133545,749.608711253043,636.445957574056,640.262763642863,915.452365674723,860.39752200362,467.099114783955,0.468556500678474,47.6134090375604,17.8288432214236
"8",118.328027285418,1186.70495597027,272.657205523290,329.229310229783,409.474114985672,803.40160074844,505.844138600655,401.296702083654,255.402767615298,775.129397569386,183.537777653616,1039.61571748746,671.49890661025,227.210779107299,387.563803375104,883.641096227174,651.889701650294,77.1130930826577,181.567541279857,160.124345045213,128.469441426832,514.013182494638,172.659424320343,281.012722848372,299.004551897466,455.133733098586,400.474066281469,52.1866131440036,1810.36491183258,339.847263379456,212.240251118509,805.364663049397,483.731881931848,1500.84727277635,664.14710352128,754.353338580559,642.148349353963,646.682010455671,920.44196646381,865.503326095492,476.522123639496,0.4807735926169,48.5740203240532,18.0822031473678
"9",118.826191349290,1192.73542759450,274.312330099212,330.670973518494,411.639429927185,808.545092495536,508.400747104169,403.595603211098,257.381526024349,781.079294097165,185.183947591178,1045.11887707599,674.240108807656,228.194054893009,389.785831530984,888.4024821983,656.245238082052,77.4516085395363,182.342422661507,160.980242808855,128.987807510906,515.342284083,173.220379042217,282.612423487233,301.180915382231,457.707057025678,403.098205898375,52.6645751876741,1820.41514920122,342.262621888175,213.564009915721,808.061965095293,486.773484709922,1507.16851341690,667.837759909014,759.097965908075,647.85074113387,653.101257268479,925.431567252897,870.609130187362,485.945132495038,0.492990684555326,49.5346316105461,18.3355630733121
"10",119.324355413163,1198.76589921873,275.967454675135,332.112636807205,413.804744868699,813.688584242631,510.957355607683,405.894504338541,259.360284433401,787.029190624944,186.83011752874,1050.62203666452,676.981311005062,229.17733067872,392.007859686864,893.163868169425,660.60077451381,77.790123996415,183.117304043158,161.836140572497,129.506173594981,516.671385671361,173.781333764091,284.212124126095,303.357278866997,460.28038095277,405.722345515282,53.1425372313446,1830.46538656987,344.677980396893,214.887768712933,810.75926714119,489.815087487997,1513.48975405746,671.528416296749,763.842593235591,653.553132913777,659.520504081287,930.421168041984,875.714934279233,495.368141350579,0.505207776493752,50.495242897039,18.5889229992564
